"어린이집명",시도명,시군구명,어린이집유형구분,정원수,보육교직원수,소재지도로명주소,어린이집전화번호,어린이집팩스번호,보육실수,놀이터수,CCTV설치수,통학차량운영여부,홈페이지주소,데이터기준일자
"휴먼시아어린이집",경상남도,창원시 의창구,민간,49,9,경상남도 창원시 의창구 소봉로 50 휴먼시아1단지 주민복지관3,055-276-6677,055-276-6667,,,,Y,,2019-03-28
"꿀벌어린이집",경상남도,창원시 의창구,가정,20,7,경상남도 창원시 의창구 사림로45번길 14-19,055-267-6209,055-266-6209,,,,Y,,2019-03-28
"다정어린이집",경상남도,창원시 의창구,가정,20,5,경상남도 창원시 의창구 창이대로187번길 35-8,055-288-3004,055-238-1374,,,,Y,,2019-03-28
"디즈니어린이집",경상남도,창원시 의창구,가정,20,5,경상남도 창원시 의창구 사림로45번길 3,055-605-6262,055-605-6262,,,,Y,,2019-03-28
"딩동댕어린이집",경상남도,창원시 의창구,가정,20,7,경상남도 창원시 의창구 봉곡로119번길 16 (봉곡동),055-237-7508,055-237-7508,,,,Y,,2019-03-28
"사랑나무어린이집",경상남도,창원시 의창구,가정,20,5,경상남도 창원시 의창구 창이대로197번길 24 (봉곡동),055-273-5583,,,,,Y,,2019-03-28
"사림재능어린이집",경상남도,창원시 의창구,가정,20,6,경상남도 창원시 의창구 사림로71번길 10-13,055-283-0708,,,,,Y,,2019-03-28
"아이별어린이집",경상남도,창원시 의창구,가정,20,5,경상남도 창원시 의창구 창이대로205번길 28-5,055-277-6209,055-277-6209,,,,Y,,2019-03-28
"아이조아어린이집",경상남도,창원시 의창구,가정,18,4,"경상남도 창원시 의창구 지귀로95번길 7 101동 104호(봉곡동, 늘푸른마을코오롱아파트)",055-288-8440,,,,,N,,2019-03-28
"은비어린이집",경상남도,창원시 의창구,가정,20,6,경상남도 창원시 의창구 봉곡로 43 (봉곡동),055-276-1188,055-276-3999,,,,Y,,2019-03-28
"좋은아이어린이집",경상남도,창원시 의창구,가정,16,3,경상남도 창원시 의창구 퇴촌로9번길 6-18,055-281-8202,055-281-8202,,,,Y,,2019-03-28
"휴먼어린이집",경상남도,창원시 의창구,가정,20,6,경상남도 창원시 의창구 봉곡로 55 (봉곡동),055-284-7117,055-284-7117,,,,Y,,2019-03-28
"경상남도청어린이집",경상남도,창원시 의창구,직장,133,25,경상남도 창원시 의창구 상남로 318,055-211-7856,055-211-7839,,,,N,,2019-03-28
"미래나무어린이집",경상남도,창원시 의창구,직장,300,49,경상남도 창원시 의창구 봉곡로24번길 9,055-277-2305,055-277-2304,,,,Y,,2019-03-28
"창원대학교 직장어린이집",경상남도,창원시 의창구,직장,94,13,경상남도 창원시 의창구 창원대학로 20,055-213-2670,055-213-2672,,,,N,,2019-03-28
"창원시립 감계아내어린이집",경상남도,창원시 의창구,국공립,44,1,경상남도 창원시 의창구 북면 감계로 342 덕산아내에코프리미엄2차아파트,055-253-5210,055-253-5210,,,,N,,2019-03-28
"창원시립 무동어린이집",경상남도,창원시 의창구,국공립,69,1,경상남도 창원시 의창구 북면 무동서로 24 무동센텀파라디아아파트,055-7655-2911,,,,,N,,2019-03-28
"창원시립 북면어린이집",경상남도,창원시 의창구,국공립,92,15,경상남도 창원시 의창구 북면 천주로1128번길 7 북면어린이집,055-298-5998,055-298-5908,,,,Y,,2019-03-28
"창원시립 빈세앙어린이집",경상남도,창원시 의창구,국공립,58,10,경상남도 창원시 의창구 북면 감계로 222 천수림아파트 내,055-292-2992,055-294-2992,,,,N,,2019-03-28
"바른손어린이집",경상남도,창원시 의창구,사회복지법인,49,9,경상남도 창원시 의창구 북면 천주로840번길 23,055-299-0070,055-299-5177,,,,Y,,2019-03-28
"즐거운성아어린이집",경상남도,창원시 의창구,사회복지법인,108,15,경상남도 창원시 의창구 북면 천주로 1251,055-256-7227,055-256-7244,,,,Y,,2019-03-28
"나무와샘어린이집",경상남도,창원시 의창구,민간,43,10,경상남도 창원시 의창구 북면 동곡로 33 103동 103호(휴먼빌1단지아파트),055-252-0982,,,,,Y,,2019-03-28
"무동휴먼빌어린이집",경상남도,창원시 의창구,민간,26,5,경상남도 창원시 의창구 북면 무동로226번길 19 창원무동지구 휴먼빌아파트 3단지내,055-256-9222,055-256-9222,,,,Y,,2019-03-28
"숲속하늘빛어린이집",경상남도,창원시 의창구,민간,26,6,경상남도 창원시 의창구 북면 동곡로 35 복리동(휴먼빌2단지아파트),055-299-0128,055-299-0127,,,,Y,,2019-03-28
"신리어린이집",경상남도,창원시 의창구,민간,39,3,경상남도 창원시 의창구 북면 신리길27번길 6-24,055-253-0087,055-253-0087,,,,Y,,2019-03-28
"아라숲어린이집",경상남도,창원시 의창구,민간,73,14,경상남도 창원시 의창구 북면 감계로 233 감계힐스테이트 4차 복지시설,055-600-8820,050-093-1763,,,,Y,,2019-03-28
"엘리스숲어린이집",경상남도,창원시 의창구,민간,106,10,경상남도 창원시 의창구 동전로 179-41 엘리스숲어린이집,070-4335-0010,070-4032-1144,,,,Y,,2019-03-28
"예그린어린이집",경상남도,창원시 의창구,민간,53,9,경상남도 창원시 의창구 북면 무동서로 76 창원무동 STX KAN 1차 아파트 보육시설,055-292-4042,055-292-4042,,,,Y,,2019-03-28
"예쁜아이어린이집",경상남도,창원시 의창구,민간,53,8,경상남도 창원시 의창구 북면 감계로 277 (창원감계아내에코프리미엄 107동 보육시설),055-291-9995,055-291-9995,,,,Y,,2019-03-28
"은별어린이집",경상남도,창원시 의창구,민간,105,9,경상남도 창원시 의창구 북면 백월로74번기곡길 35-16,055-294-1994,055-294-1995,,,,Y,,2019-03-28
"지안어린이집",경상남도,창원시 의창구,민간,42,10,경상남도 창원시 의창구 북면 무동로267번길 10 창원무동STX KAN2차 아파트내,055-295-0295,055-295-0295,,,,Y,,2019-03-28
"창원자연숲어린이집",경상남도,창원시 의창구,민간,168,19,경상남도 창원시 의창구 북면 달천길52번길 9,055-277-0073,055-256-0073,,,,Y,,2019-03-28
"키즈엘리스숲어린이집",경상남도,창원시 의창구,민간,160,23,경상남도 창원시 의창구 북면 동전로 179-39,070-4808-1900,070-7500-8686,,,,Y,,2019-03-28
"키즈힐스어린이집",경상남도,창원시 의창구,민간,60,10,경상남도 창원시 의창구 북면 동전로 86 감계힐스테이트 1차 내,055-291-7942,055-256-6533,,,,Y,,2019-03-28
"푸르지오어린이집",경상남도,창원시 의창구,민간,53,10,경상남도 창원시 의창구 북면 감계로 221 (감계푸르지오아파트 관리동),055-299-1407,055-299-1407,,,,N,,2019-03-28
"휴먼빌어린이집",경상남도,창원시 의창구,민간,49,11,경상남도 창원시 의창구 북면 감계로 297 감계지구 휴먼빌아파트 내,055-299-3000,055-299-3000,,,,N,,2019-03-28
"힐스뜰어린이집",경상남도,창원시 의창구,민간,42,9,경상남도 창원시 의창구 북면 감계로 259 창원감계힐스테이트 3차 관리동,055-800-7001,055-800-7002,,,,N,,2019-03-28
"힐스아이어린이집",경상남도,창원시 의창구,민간,48,9,경상남도 창원시 의창구 북면 감계로 341 관리동 (창원 감계 힐스테이트 2차),055-252-5175,055-252-5176,,,,Y,,2019-03-28
"감계누리어린이집",경상남도,창원시 의창구,가정,20,6,경상남도 창원시 의창구 북면 동전로 86 111동 101호(창원감계지구힐스테이트1차),055-253-0106,,,,,Y,,2019-03-28
"감계빅스맘어린이집",경상남도,창원시 의창구,가정,20,5,경상남도 창원시 의창구 북면 감계로 277 108동 103호(창원감계아내에코프리미엄),055-291-9814,055-291-9815,,,,N,,2019-03-28
"감계숲어린이집",경상남도,창원시 의창구,가정,20,6,경상남도 창원시 의창구 북면 감계로 233 창원감계힐스테이트 4차 404동 101호,055-255-4537,055-255-4537,,,,N,,2019-03-28
"감계아이숲어린이집",경상남도,창원시 의창구,가정,20,5,경상남도 창원시 의창구 북면 감계로 341 힐스테이트 2차 204-102,055-292-0304,,,,,Y,,2019-03-28
"고운맘어린이집",경상남도,창원시 의창구,가정,20,5,경상남도 창원시 의창구 북면 무동로226번길 19 306동 103호(휴먼빌3차아파트),055-291-9002,,,,,Y,,2019-03-28
"꼬마숲어린이집",경상남도,창원시 의창구,가정,20,6,경상남도 창원시 의창구 북면 감계로 259 303동 101호(감계힐스테이트3차),055-262-6958,,,,,N,,2019-03-28
"꽃가람어린이집",경상남도,창원시 의창구,가정,20,7,경상남도 창원시 의창구 북면 동전로 86 111동 103호(창원감계지구힐스테이트1차),055-299-4525,055-299-4525,,,,Y,,2019-03-28
"꿈땅어린이집",경상남도,창원시 의창구,가정,20,6,경상남도 창원시 의창구 북면 동전로 86 110동 101호(창원감계지구힐스테이트1차),055-294-3345,055-294-5314,,,,Y,,2019-03-28
"꿈밭어린이집",경상남도,창원시 의창구,가정,20,6,경상남도 창원시 의창구 북면 감계로 233 힐스테이트 403동 103호,055-292-5712,055-292-5712,,,,N,,2019-03-28
"꿈비어린이집",경상남도,창원시 의창구,가정,20,6,경상남도 창원시 의창구 북면 감계로 297 110동 102호(창원감계지구휴먼빌아파트),055-298-5432,,,,,Y,,2019-03-28
"꿈트는어린이집",경상남도,창원시 의창구,가정,20,5,경상남도 창원시 의창구 북면 동곡로 33  103동 102호(창원무동지구휴먼빌아파트1단지),055-251-9720,070-4952-9723,,,,N,,2019-03-28
"다인어린이집",경상남도,창원시 의창구,가정,20,6,경상남도 창원시 의창구 북면 동전로 86 111동 102호(창원감계지구힐스테이트1차),055-291-3323,055-291-3323,,,,Y,,2019-03-28
"다하어린이집",경상남도,창원시 의창구,가정,20,6,경상남도 창원시 의창구 북면 감계로 233 창원감계힐스테이트 4차 405동 103호,055-603-1758,,,,,Y,,2019-03-28
"도란도란어린이집",경상남도,창원시 의창구,가정,20,6,경상남도 창원시 의창구 북면 감계로 233 창원감계힐스테이트 4차 404동 102호,055-252-0554,050-418-0554,,,,Y,,2019-03-28
"라니어린이집",경상남도,창원시 의창구,가정,20,6,경상남도 창원시 의창구 북면 감계로 277 105동 103호(창원감계아내에코프리미엄),070-7529-0110,070-7529-0110,,,,N,,2019-03-28
"라별어린이집",경상남도,창원시 의창구,가정,20,5,경상남도 창원시 의창구 북면 감계로 341 힐스테이트2차 210동 104호,055-299-2140,055-299-2140,,,,Y,,2019-03-28
"무동아이별어린이집",경상남도,창원시 의창구,가정,20,5,경상남도 창원시 의창구 북면 무동로226번길 19 301동 102호(무동지구휴먼빌3차아파트),055-293-7063,055-293-7063,,,,N,,2019-03-28
"무지개꼬마숲어린이집",경상남도,창원시 의창구,가정,20,6,경상남도 창원시 의창구 북면 감계로 297 105동 103호(창원감계지구휴먼빌아파트),055-251-7179,055-251-7141,,,,Y,,2019-03-28
"별하어린이집",경상남도,창원시 의창구,가정,20,6,경상남도 창원시 의창구 북면 감계로 341 힐스테이트2차 204동 101호,055-299-3865,055-299-3865,,,,N,,2019-03-28
"사랑꽃어린이집",경상남도,창원시 의창구,가정,20,3,경상남도 창원시 의창구 북면 무동서로 76 104동 102호 (창원무동stx kan 1차),055-287-9964,,,,,Y,,2019-03-28
"세움어린이집",경상남도,창원시 의창구,가정,20,3,경상남도 창원시 의창구 북면 무동서로 76 105동 101호(창원 무동 STX KAN 1차아파트),055-264-0313,055-264-0313,,,,N,,2019-03-28
"아가별꽃어린이집",경상남도,창원시 의창구,가정,20,5,경상남도 창원시 의창구 북면 감계로 277 109동 104호(창원감계아내에코프리미엄),055-604-2685,055-603-2684,,,,Y,,2019-03-28
"아몽어린이집",경상남도,창원시 의창구,가정,17,3,경상남도 창원시 의창구 북면 무동로 213 102동 101호(무동 코아루아파트),055-277-6929,,,,,Y,,2019-03-28
"아이꽃어린이집",경상남도,창원시 의창구,가정,20,6,경상남도 창원시 의창구 북면 동곡로 35 205동 104호(창원무동지구휴멀빌아파트2단지),055-299-3577,055-295-3577,,,,N,,2019-03-28
"아이꿈어린이집",경상남도,창원시 의창구,가정,18,4,경상남도 창원시 의창구 북면 무동로226번길 19 305동 102호,055-251-0667,,,,,Y,,2019-03-28
"아이소리어린이집",경상남도,창원시 의창구,가정,20,5,경상남도 창원시 의창구 북면 동전로 86 112동 102호(창원감계지구힐스테이트1차),055-299-4829,055-299-4823,,,,Y,,2019-03-28
"아이웃음어린이집",경상남도,창원시 의창구,가정,20,5,경상남도 창원시 의창구 북면 동전로224번길 3 월드메르디앙 106동 104호,055-255-0191,,,,,Y,,2019-03-28
"오줌싸개어린이집",경상남도,창원시 의창구,가정,20,2,경상남도 창원시 의창구 북면 감계로 342 212동 103호(창원감계아내에코프리미엄2차),055-295-8846,,,,,N,,2019-03-28
"온천어린이집",경상남도,창원시 의창구,가정,13,1,경상남도 창원시 의창구 북면 신촌본포로 12-10 101동 103호,055-299-2207,055-299-2207,,,,N,,2019-03-28
"재미난어린이집",경상남도,창원시 의창구,가정,15,3,경상남도 창원시 의창구 북면 감계로 341 힐스테이트2차 209동 101호,055-291-6974,055-291-6974,,,,Y,,2019-03-28
"하늘나리어린이집",경상남도,창원시 의창구,가정,20,6,경상남도 창원시 의창구 북면 무동서로 76 109동 101호(무동 STX KAN 1차아파트),055-255-0376,055-255-0376,,,,N,,2019-03-28
"햇살가득어린이집",경상남도,창원시 의창구,가정,20,5,경상남도 창원시 의창구 북면 감계로 297 109동 103호(창원감계지구휴먼빌아파트),055-266-8147,070-7366-1881,,,,Y,,2019-03-28
"햇살어린이집",경상남도,창원시 의창구,가정,20,2,경상남도 창원시 의창구 북면 무동로226번길 19 301동 103호(무동지구휴먼빌3차),055-292-0122,055-292-0121,,,,Y,,2019-03-28
"행복한어린이집",경상남도,창원시 의창구,가정,20,4,경상남도 창원시 의창구 북면 온천로 528,055-299-2572,055-299-2572,,,,Y,,2019-03-28
"호연어린이집",경상남도,창원시 의창구,가정,20,3,경상남도 창원시 의창구 북면 감계로 341 206동 103호(창원 감계 힐스테이트 2차),055-298-0455,,,,,Y,,2019-03-28
"홍익어린이집",경상남도,창원시 의창구,가정,20,3,경상남도 창원시 의창구 북면 동곡로 33 108동 101호(창원무동지구휴먼빌아파트1단지),055-299-5605,,,,,N,,2019-03-28
"휴먼빌좋은어린이집",경상남도,창원시 의창구,가정,20,6,경상남도 창원시 의창구 북면 동곡로 33 104동 104호(창원무동지구휴먼빌아파트1단지),055-252-7802,055-252-7802,,,,Y,,2019-03-28
"힐스도담어린이집",경상남도,창원시 의창구,가정,20,6,경상남도 창원시 의창구 북면 감계로 233 창원감계힐스테이트 4차 404동 103호,055-256-2002,055-256-2002,,,,Y,,2019-03-28
"힐스작은숲속어린이집",경상남도,창원시 의창구,가정,20,7,경상남도 창원시 의창구 북면 동전로 86 110동 103호(창원감계지구힐스테이트1차),055-299-7912,055-609-7039,,,,Y,,2019-03-28
"창원시립 신월어린이집",경상남도,창원시 의창구,국공립,93,12,경상남도 창원시 의창구 신월로 46 시립신월어린이집,055-284-5703,055-284-5707,,,,Y,,2019-03-28
"창원시립 용지어린이집",경상남도,창원시 의창구,국공립,92,17,경상남도 창원시 의창구 용지로239번길 19  -4 창원시립용지어린이집,055-281-1130,055-275-8284,,,,N,,2019-03-28
"레이크파크어린이집",경상남도,창원시 의창구,민간,63,10,"경상남도 창원시 의창구 외동반림로 156 키즈하우스 (용지동,용지더샵레이크파크)",055-715-7326,055-715-7327,,,,N,,2019-03-28
"뿌리깊은나무리틀어린이집",경상남도,창원시 의창구,민간,99,13,경상남도 창원시 의창구 창이대로460번길 21 (용호동),055-287-7010,055-287-7015,,,,Y,,2019-03-28
"아이파크어린이집",경상남도,창원시 의창구,민간,63,14,"경상남도 창원시 의창구 원이대로579번길 13 관리동 1층 (용호동,용지아이파크)",055-262-6259,055-262-6259,,,,Y,,2019-03-28
"기쁨가득어린이집",경상남도,창원시 의창구,가정,17,5,경상남도 창원시 의창구 신월로85번길 7 (신월동),055-284-8933,055-284-8933,,,,Y,,2019-03-28
